Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
490,75,80,95,90,100,50
250,70,20,50,20,50,40
420,100,50,80,60,80,50
410,70,100,115,30,65,30
500,90,75,75,90,100,70
250,35,35,40,35,55,50
340,55,45,50,45,65,80
460,75,55,70,55,95,110
360,55,70,55,40,55,85
180,30,30,30,30,30,30
425,75,75,55,105,85,30
390,65,65,45,75,45,95
210,55,45,45,25,25,15
430,95,85,85,65,65,35
525,65,65,60,130,95,110
525,95,65,110,60,130,65
405,60,85,42,85,42,91
490,95,75,80,100,110,30
435,60,60,60,85,85,85
336,48,72,48,72,48,48
405,190,33,58,33,58,33
455,70,80,65,90,65,85
290,50,65,90,35,35,15
465,75,90,140,60,60,40
415,100,70,70,65,65,45
430,65,75,105,35,65,85
510,75,85,200,55,65,30
300,60,80,50,40,40,30
450,90,120,75,60,60,45
430,65,95,75,55,55,85
500,70,130,100,55,80,65
505,20,10,230,10,230,5
500,80,125,75,40,95,85
430,55,95,55,35,75,115
330,60,80,50,50,50,40
500,90,130,75,75,75,55
250,40,40,40,70,40,20
410,50,50,120,80,80,30
250,50,50,40,30,30,50
450,100,100,80,60,60,50
380,55,55,85,65,85,35
300,35,65,35,65,35,65
480,75,105,75,105,75,45
330,45,55,45,65,45,75
465,65,40,70,80,140,70
465,65,80,140,40,70,70
330,45,60,30,80,50,65
500,75,90,50,110,80,95
540,75,95,95,95,95,85
330,90,60,60,40,40,40
500,90,120,120,60,60,50
515,85,80,90,105,95,60
465,73,95,62,85,65,85
250,55,20,35,20,45,75
210,35,35,35,35,35,35
455,50,95,95,35,110,70
305,45,30,15,85,65,65
360,45,63,37,65,55,95
365,45,75,37,70,55,83
490,95,80,105,40,70,100
540,255,10,10,75,135,55
580,90,85,75,115,100,115
580,115,115,85,90,75,100
580,100,75,115,90,115,85
300,50,64,50,45,50,41
410,70,84,70,65,70,51
600,100,134,110,95,100,61
680,106,90,130,90,154,110
680,106,130,90,110,154,90
600,100,100,100,100,100,100
310,40,45,35,65,55,70
405,50,65,45,85,65,95
530,70,85,65,105,85,120
310,45,60,40,70,50,45
405,60,85,60,85,60,55
530,80,120,70,110,70,80
310,50,70,50,50,50,40
405,70,85,70,60,70,50
535,100,110,90,85,90,60
220,35,55,35,30,30,35
420,70,90,70,60,60,70
240,38,30,41,30,41,60
420,78,70,61,50,61,100
195,45,45,35,20,30,20
205,50,35,55,25,25,15
395,60,70,50,100,50,65
205,50,35,55,25,25,15
385,60,50,70,50,90,65
220,40,30,30,40,50,30
340,60,50,50,60,70,50
480,80,70,70,90,100,70
220,40,40,50,30,30,30
340,70,70,40,60,40,60
480,90,100,60,90,60,80
270,40,55,30,30,30,85
430,60,85,60,50,50,125
270,40,30,30,55,30,85
430,60,50,100,85,70,65
198,28,25,25,45,35,40
278,38,35,35,65,55,50
518,68,65,65,125,115,80
269,40,30,32,50,52,65
414,70,60,62,80,82,60
295,60,40,60,40,60,35
460,60,130,80,60,60,70
280,60,60,60,35,35,30
440,80,80,80,55,55,90
670,150,160,100,95,65,100
266,31,45,90,30,30,40
456,61,90,45,50,50,160
236,1,90,45,30,30,40
240,64,51,23,51,23,28
360,84,71,43,71,43,48
490,104,91,63,91,73,68
237,72,60,30,20,30,25
474,144,120,60,40,60,50
190,50,20,40,20,40,20
375,30,45,135,45,90,30
260,50,45,45,35,35,50
380,70,65,65,55,55,70
380,50,75,75,65,65,50
380,50,85,85,55,55,50
330,50,70,100,40,40,30
430,60,90,140,50,50,40
530,70,110,180,60,60,50
280,30,40,55,40,55,60
410,60,60,75,60,75,80
295,40,45,40,65,40,65
475,70,75,60,105,60,105
405,60,50,40,85,75,95
405,60,40,50,75,85,95
400,65,73,55,47,75,85
400,65,47,55,73,75,85
400,50,60,45,100,80,65
302,70,43,53,43,53,40
467,100,73,83,73,83,55
305,45,90,20,65,20,65
460,70,120,40,95,40,95
400,130,70,35,70,35,60
500,170,90,45,90,45,60
305,60,60,40,65,45,35
460,70,100,70,105,75,40
470,70,85,140,85,70,20
330,60,25,35,70,80,60
470,80,45,65,90,110,80
360,60,60,60,60,60,60
290,45,100,45,45,45,10
340,50,70,50,50,50,70
520,80,100,80,80,80,100
335,50,85,40,85,40,35
475,70,115,60,115,60,55
310,45,40,60,40,75,50
490,75,70,90,70,105,80
458,73,115,60,60,60,90
458,73,100,60,100,60,65
440,70,55,65,95,85,70
440,70,95,85,55,65,70
288,50,48,43,46,41,60
468,110,78,73,76,71,60
308,43,80,65,50,35,35
468,63,120,85,90,55,55
300,40,40,55,40,70,55
500,60,70,105,70,120,75
355,66,41,77,61,87,23
495,86,81,97,81,107,43
355,45,95,50,40,50,75
495,75,125,100,70,80,45
200,20,15,20,10,55,80
540,95,60,79,100,125,81
420,70,70,70,70,70,70
440,60,90,70,60,120,40
295,44,75,35,63,33,45
455,64,115,65,83,63,65
295,20,40,90,30,90,25
455,40,70,130,60,130,25
460,99,68,83,72,87,51
425,65,50,70,95,80,65
465,65,130,60,75,60,75
260,95,23,48,23,48,23
300,50,50,50,50,50,50
480,80,80,80,80,80,80
290,70,40,50,55,50,25
410,90,60,70,75,70,45
530,110,80,90,95,90,65
345,35,64,85,74,55,32
485,55,104,105,94,75,52
485,55,84,105,114,75,52
485,100,90,130,45,65,55
330,43,30,55,40,65,97
300,45,75,60,40,30,50
420,65,95,100,60,50,50
600,95,135,80,110,80,100
300,40,55,80,35,60,30
420,60,75,100,55,80,50
600,80,135,130,95,90,70
580,80,100,200,50,100,50
580,80,50,100,100,200,50
580,80,75,150,75,150,50
600,80,80,90,110,130,110
600,80,90,80,130,110,110
670,100,100,90,150,140,90
670,100,150,140,100,90,90
680,105,150,90,150,90,95
600,100,100,100,100,100,100
600,50,150,50,150,50,150
318,55,68,64,45,55,31
405,75,89,85,55,65,36
525,95,109,105,75,85,56
309,44,58,44,58,44,61
405,64,78,52,78,52,81
534,76,104,71,104,71,108
314,53,51,53,61,56,40
405,64,66,68,81,76,50
530,84,86,88,111,101,60
245,40,55,30,30,30,60
340,55,75,50,40,40,80
485,85,120,70,50,60,100
250,59,45,40,35,40,31
410,79,85,60,55,60,71
194,37,25,41,25,41,25
384,77,85,51,55,51,65
263,45,65,34,40,34,45
363,60,85,49,60,49,60
523,80,120,79,95,79,70
280,40,30,35,50,70,55
515,60,70,65,125,105,90
350,67,125,40,30,30,58
495,97,165,60,65,50,58
350,30,42,118,42,88,30
495,60,52,168,47,138,30
224,40,29,45,29,45,36
424,60,59,85,79,105,36
424,70,94,50,94,50,66
244,30,30,42,30,42,70
474,70,80,102,80,102,40
405,60,45,70,45,90,95
330,55,65,35,60,30,85
495,85,105,55,85,50,115
275,45,35,45,62,53,35
450,70,60,70,87,78,85
325,76,48,48,57,62,34
475,111,83,68,92,82,39
482,75,100,66,60,66,115
348,90,50,34,60,44,70
498,150,80,44,90,54,80
350,55,66,44,44,56,85
480,65,76,84,54,96,105
495,60,60,60,105,105,105
505,100,125,52,105,52,71
310,49,55,42,42,37,85
452,71,82,64,64,59,112
285,45,30,50,65,50,45
329,63,63,47,41,41,74
479,103,93,67,71,61,84
300,57,24,86,24,86,23
500,67,89,116,79,116,33
290,50,80,95,10,45,10
310,20,25,45,70,90,60
220,100,5,5,15,65,30
411,76,65,45,92,42,91
485,50,92,108,92,108,35
300,58,70,45,40,45,42
410,68,90,65,50,55,82
600,108,130,95,80,85,102
390,135,85,40,40,85,5
285,40,70,40,35,40,60
525,70,110,70,115,70,90
330,68,72,78,38,42,32
525,108,112,118,68,72,47
330,40,50,90,30,55,65
500,70,90,110,60,75,95
300,48,61,40,61,40,50
490,83,106,65,86,65,85
454,74,100,72,90,72,46
330,49,49,56,49,61,66
460,69,69,76,69,86,91
345,45,20,50,60,120,50
334,60,62,50,62,60,40
494,90,92,75,92,85,60
510,70,120,65,45,85,125
535,70,70,115,130,90,60
515,110,85,95,80,95,50
535,115,140,130,55,55,40
535,100,100,125,110,50,50
540,75,123,67,95,85,95
540,75,95,67,125,95,83
545,85,50,95,120,115,80
515,86,76,86,116,56,95
525,65,110,130,60,65,95
525,65,60,110,130,95,65
510,75,95,125,45,75,95
530,110,130,80,70,60,80
535,85,80,70,135,75,90
518,68,125,65,65,115,80
525,60,55,145,75,150,40
525,45,100,135,65,135,45
480,70,80,70,80,70,110
440,50,50,77,95,77,91
580,75,75,130,75,130,95
580,80,105,105,105,105,80
580,75,125,70,125,70,115
680,100,120,120,150,100,90
680,90,120,100,150,120,100
600,91,90,106,130,106,77
670,110,160,110,80,110,100
680,150,100,120,100,120,90
600,120,70,120,75,130,85
480,80,80,80,80,80,80
600,100,100,100,100,100,100
600,70,90,90,135,90,125
600,100,100,100,100,100,100
720,120,120,120,120,120,120
600,100,100,100,100,100,100
308,45,45,55,45,55,63
413,60,60,75,60,75,83
528,75,75,95,75,95,113
308,65,63,45,45,45,45
418,90,93,55,70,55,55
528,110,123,65,100,65,65
308,55,55,45,63,45,45
413,75,75,60,83,60,60
528,95,100,85,108,70,70
255,45,55,39,35,39,42
420,60,85,69,60,69,77
275,45,60,45,25,45,55
370,65,80,65,35,65,60
500,85,110,90,45,90,80
281,41,50,37,50,37,66
446,64,88,50,88,50,106
316,50,53,48,53,48,64
498,75,98,63,98,63,101
316,50,53,48,53,48,64
498,75,98,63,98,63,101
316,50,53,48,53,48,64
498,75,98,63,98,63,101
292,76,25,45,67,55,24
487,116,55,85,107,95,29
264,50,55,50,36,30,43
358,62,77,62,50,42,65
488,80,115,80,65,55,93
295,45,60,32,50,32,76
497,75,100,63,80,63,116
280,55,75,85,25,25,15
390,70,105,105,50,40,20
515,85,135,130,60,80,25
313,55,45,43,55,43,72
425,67,57,55,77,55,114
328,60,85,40,30,45,68
508,110,135,60,50,65,88
445,103,60,86,60,86,50
305,75,80,55,25,35,35
405,85,105,85,40,50,40
505,105,140,95,55,65,45
294,50,50,40,50,40,64
384,75,65,55,65,55,69
509,105,95,75,85,75,74
465,120,100,85,30,85,45
465,75,125,75,30,75,85
310,45,53,70,40,60,42
380,55,63,90,50,80,42
500,75,103,80,70,80,92
260,30,45,59,30,39,57
360,40,55,99,40,79,47
485,60,100,89,55,69,112
280,40,27,60,37,50,66
480,60,67,85,77,75,116
280,45,35,50,70,50,30
480,70,60,75,110,75,90
460,70,92,65,80,55,98
292,50,72,35,35,35,65
351,60,82,45,45,45,74
519,95,117,80,65,70,92
315,70,90,45,15,45,50
480,105,140,55,30,55,95
461,75,86,67,106,67,60
325,50,65,85,35,35,55
475,70,95,125,65,75,45
348,50,75,70,35,70,48
488,65,90,115,45,115,58
490,72,58,80,103,80,97
303,38,30,85,55,65,30
483,58,50,145,95,105,30
355,54,78,103,53,45,22
495,74,108,133,83,65,32
401,55,112,45,74,45,70
567,75,140,65,112,65,110
329,50,50,62,40,62,65
474,80,95,82,60,82,75
330,40,65,40,80,40,65
510,60,105,60,120,60,105
300,55,50,40,40,40,75
470,75,95,60,65,60,115
290,45,30,50,55,65,45
390,60,45,70,75,85,55
490,70,55,95,95,110,65
290,45,30,40,105,50,20
370,65,40,50,125,60,30
490,110,65,75,125,85,30
305,62,44,50,44,50,55
473,75,87,63,87,63,98
305,36,50,50,65,60,44
395,51,65,65,80,75,59
535,71,95,85,110,95,79
335,60,60,50,40,50,75
475,80,100,70,60,70,95
428,55,75,60,75,60,103
315,50,75,45,40,45,60
495,70,135,105,60,105,20
294,69,55,45,55,55,15
464,114,85,70,85,80,30
335,55,40,50,65,85,40
480,100,60,70,85,105,60
470,165,75,80,40,45,65
319,50,47,50,57,50,65
472,70,77,60,97,60,108
305,44,50,91,24,86,10
489,74,94,131,54,116,20
300,40,55,70,45,60,30
440,60,80,95,70,85,50
520,60,100,115,70,85,90
275,35,55,40,45,40,60
405,65,85,70,75,70,40
515,85,115,80,105,80,50
335,55,55,55,85,55,30
485,75,75,75,125,95,40
275,50,30,55,65,55,20
370,60,40,60,95,60,55
520,60,55,90,145,90,80
320,46,87,60,30,40,57
410,66,117,70,40,50,67
540,76,147,90,60,70,97
305,55,70,40,60,40,40
485,95,110,80,70,80,50
485,70,50,30,95,135,105
305,50,40,85,40,65,25
495,80,70,40,100,60,145
471,109,66,84,81,99,32
350,45,85,50,55,50,65
510,65,125,60,95,60,105
485,77,120,90,60,90,48
303,59,74,50,35,50,35
483,89,124,80,55,80,55
340,45,85,70,40,40,60
490,65,125,100,60,70,70
490,95,110,95,40,95,55
350,70,83,50,37,50,60
510,100,123,75,57,75,80
370,70,55,75,45,65,60
510,110,65,105,55,95,80
484,85,97,66,105,66,65
484,58,109,112,48,48,109
300,52,65,50,45,50,38
420,72,85,70,65,70,58
600,92,105,90,125,90,98
360,55,85,55,50,55,60
550,85,60,65,135,105,100
580,91,90,129,90,72,108
580,91,129,90,72,90,108
580,91,90,72,90,129,108
580,79,115,70,125,80,111
580,79,115,70,125,80,111
680,100,120,100,150,120,90
680,100,150,120,120,100,90
600,89,125,90,115,80,101
660,125,130,90,130,90,95
580,91,72,90,129,90,108
600,100,77,77,128,128,90
600,71,120,95,120,95,99
313,56,61,65,48,45,38
405,61,78,95,56,58,57
530,88,107,122,74,75,64
307,40,45,40,62,60,60
409,59,59,58,90,70,73
534,75,69,72,114,100,104
314,41,56,40,62,44,71
405,54,63,52,83,56,97
530,72,95,67,103,71,122
237,38,36,38,32,36,57
423,85,56,77,50,77,78
278,45,50,43,40,38,62
382,62,73,55,56,52,84
499,78,81,71,74,69,126
200,38,35,40,27,25,35
213,45,22,60,27,30,29
411,80,52,50,90,50,89
369,62,50,58,73,54,72
507,86,68,72,109,66,106
303,44,38,39,61,79,42
371,54,45,47,75,98,52
552,78,65,68,112,154,75
350,66,65,48,62,57,52
531,123,100,62,97,81,68
348,67,82,62,46,48,43
495,95,124,78,69,71,58
472,75,80,60,65,90,102
355,62,48,54,63,60,68
466,74,48,76,83,81,104
325,45,80,100,35,37,28
448,59,110,150,45,49,35
520,60,150,50,150,50,60
341,78,52,60,63,65,23
462,101,72,72,99,89,29
341,62,48,66,59,57,49
480,82,80,86,85,75,72
288,53,54,53,37,46,45
482,86,92,88,68,75,73
306,42,52,67,39,56,50
500,72,105,115,54,86,68
320,50,60,60,60,60,30
494,65,75,90,97,123,44
330,50,53,62,58,63,44
500,71,73,88,120,89,59
289,44,38,33,61,43,70
481,62,55,52,109,94,109
362,58,89,77,45,45,48
521,82,121,119,69,59,71
362,77,59,50,67,63,46
521,123,77,72,99,92,58
525,95,65,65,110,130,60
500,78,92,75,74,63,118
431,67,58,57,81,67,101
500,50,50,150,50,150,50
300,45,50,35,55,75,40
452,68,75,53,83,113,60
600,90,100,70,110,150,80
470,57,80,91,80,87,75
309,43,70,48,50,60,38
474,85,110,76,65,82,56
335,49,66,70,44,55,51
494,65,90,122,58,75,84
304,55,69,85,32,35,28
514,95,117,184,44,46,28
245,40,30,35,45,40,55
535,85,70,80,97,80,123
680,126,131,95,131,98,99
680,126,131,95,131,98,99
600,108,100,121,81,95,95
600,50,100,150,100,150,50
600,80,110,60,150,130,70
600,80,110,120,130,90,70
